id,lowest_price,median_price,highest_price,listing_count,popularity,date_hour
5464980,15,35,12704,803,0.736,08/24/22 16:54
5464980,14,35,12704,746,0.736,08/24/22 19:51
5464980,16,39,12704,724,0.736,08/24/22 21:11
5464980,12,37,12704,654,0.739,08/25/22 08:39
5464980,12,37,12704,639,0.739,08/25/22 09:58
5464980,12,37,12704,623,0.739,08/25/22 10:17
5464980,17,32,12704,611,0.739,08/25/22 12:03
5464980,17,32,12704,608,0.739,08/25/22 12:08
5464980,19,32,12704,557,0.739,08/25/22 13:16
5464980,21,32,12704,532,0.739,08/25/22 14:01
5464980,19,32,12704,518,0.739,08/25/22 14:20
5464980,21,31,12704,489,0.739,08/25/22 14:49
5464980,18,31,12704,472,0.739,08/25/22 15:31
5464980,10,28,12704,459,0.739,08/25/22 15:51
5464980,11,24,12704,410,0.739,08/25/22 16:20
5464980,11,21,245,332,0.731,08/25/22 18:10
5464980,9,20,232,307,0.731,08/25/22 18:31
5464980,9,20,232,300,0.731,08/25/22 18:34
5464980,8,20,232,295,0.731,08/25/22 18:40
5464980,6,20,218,268,0.731,08/25/22 19:05
5464980,8,20,170,255,0.731,08/25/22 19:17
